Job_Title,Job_Type,Salary,Job_Skill,Gaji_Perbulan
account executive - 24/7 rotating shift,Full-time,"USD 50,000 - 75,000 / YEARLY",Excel,"4,167 - 6,250"
internship in business and marketing,Internship,"USD 18,000 - 24,000 / YEARLY","Excel, Data Analysis","1,500 - 2,000"
corporate sales/marketing executives,Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
"team lead, finance & accounting",Full-time,"USD 50,000 - 75,000 / YEARLY",Excel,"4,167 - 6,250"
ea & office admin executive,Full-time,"USD 30,000 - 50,000 / YEARLY",Communication,"2,500 - 4,167"
sme relationship manager - johor region,Full-time,"USD 75,000 - 100,000 / YEARLY",Communication,"6,250 - 8,333"
security engineer,Full-time,"USD 70,000 - 105,000 / YEARLY","Python, SQL, Excel, Java","5,833 - 8,750"
ap analyst / ar analyst (shared services),Full-time,"USD 60,000 - 90,000 / YEARLY",Excel,"5,000 - 7,500"
full stack developer - wfh,Full-time,"USD 70,000 - 105,000 / YEARLY","SQL, Java, React","5,833 - 8,750"
social media editor cum videographer,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
tech lead (javascript/typescript),Full-time,"USD 75,000 - 100,000 / YEARLY","SQL, Excel, Java, React","6,250 - 8,333"
c# application programmer (junior / senior),Full-time,"USD 70,000 - 105,000 / YEARLY",Java,"5,833 - 8,750"
paid dealer's representatives (penang branch),Full-time,"USD 60,000 - 90,000 / YEARLY",Communication,"5,000 - 7,500"
hr & admin internship,Internship,"USD 18,000 - 24,000 / YEARLY",Communication,"1,500 - 2,000"
senior account executive 高级会计执行员,Full-time,"USD 50,000 - 75,000 / YEARLY",Excel,"4,167 - 6,250"
system support executive,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
senior recruiter/ team lead,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
immigration hr manager partner (client facing advisory) - work from home,Full-time,"USD 75,000 - 100,000 / YEARLY",Excel,"6,250 - 8,333"
"technical service representative (downstream) - kukup, jb",Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
senior backend developer (salary up to rm15k),Full-time,"USD 70,000 - 105,000 / YEARLY",Python,"5,833 - 8,750"
qc welding (cert cswip 3.1),Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
senior accountant - strategic accounting program,Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
account executive - reconciliation & settlement,Full-time,"USD 50,000 - 75,000 / YEARLY",Excel,"4,167 - 6,250"
aog desk officer,Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
system analyst crm (ms dynamics),Full-time,"USD 60,000 - 90,000 / YEARLY",Communication,"5,000 - 7,500"
"senior analyst (indonesian, japanese, korean, mandarin & thai speaking)",Full-time,"USD 60,000 - 90,000 / YEARLY",Communication,"5,000 - 7,500"
senior mobile engineer (react native),Full-time,"USD 70,000 - 105,000 / YEARLY",React,"5,833 - 8,750"
facility maintenance engineer (opportunity to work in taiwan),Full-time,"USD 60,000 - 90,000 / YEARLY",Communication,"5,000 - 7,500"
financial sales advisor - (basic up rm6000 + commission),Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
electrical technician / foreman,Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
admin executive 行政专员,Full-time,"USD 30,000 - 50,000 / YEARLY",Excel,"2,500 - 4,167"
it security governance officer,Full-time,"USD 70,000 - 105,000 / YEARLY",Excel,"5,833 - 8,750"
"specialist, record to report - consolidation (penang)",Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
assembly and service technician,Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
it support technician,Full-time,"USD 70,000 - 105,000 / YEARLY",Excel,"5,833 - 8,750"
project & site manager,Contract,"USD 70,000 - 115,500 / YEARLY",Communication,"5,833 - 9,625"
development lead (it software),Full-time,"USD 70,000 - 105,000 / YEARLY",SQL,"5,833 - 8,750"
customer account specialist (japanese speaking),Full-time,"USD 50,000 - 75,000 / YEARLY",Excel,"4,167 - 6,250"
audit associate / audit senior,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
junior marketing data scientist for google analytics,Full-time,"USD 60,000 - 90,000 / YEARLY",Communication,"5,000 - 7,500"
desktop support engineer (band 2) #66194,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
executive - administration (40002),Full-time,"USD 30,000 - 50,000 / YEARLY",Communication,"2,500 - 4,167"
senior engineering lead ( chemical plant / industrial gas ),Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
"cadet engineer, sarawak",Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
hr&admin executive,Full-time,"USD 30,000 - 50,000 / YEARLY",Communication,"2,500 - 4,167"
senior software engineer (php developer),Full-time,"USD 70,000 - 105,000 / YEARLY","SQL, Java","5,833 - 8,750"
hr recruiter(fresh/ junior)- 1 year contract,Contract,"USD 70,000 - 115,500 / YEARLY",Excel,"5,833 - 9,625"
admin cum market research executive (japanese speaker) (id: 601749),Full-time,"USD 30,000 - 50,000 / YEARLY",Excel,"2,500 - 4,167"
general manager (construction) - senai & ulu choh,Full-time,"USD 60,000 - 90,000 / YEARLY",Communication,"5,000 - 7,500"
intern - l&d program coordination,Internship,"USD 18,000 - 24,000 / YEARLY",Excel,"1,500 - 2,000"
executive assistant (chairman's office),Full-time,"USD 60,000 - 90,000 / YEARLY",Communication,"5,000 - 7,500"
sap abap/fico consultant,Full-time,"USD 45,000 - 82,500 / YEARLY",Excel,"3,750 - 6,875"
japanese speaking finance analyst (junior level),Full-time,"USD 60,000 - 90,000 / YEARLY",Communication,"5,000 - 7,500"
admin executive/assistant,Full-time,"USD 30,000 - 50,000 / YEARLY",Communication,"2,500 - 4,167"
"senior manager / manager, m&e (chiller plant)",Full-time,"USD 75,000 - 100,000 / YEARLY",Excel,"6,250 - 8,333"
hr admin assistant [contract],Contract,"USD 30,000 - 55,000 / YEARLY",Excel,"2,500 - 4,583"
e-commerce officer,Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
senior admin / operation executive,Full-time,"USD 30,000 - 50,000 / YEARLY",Excel,"2,500 - 4,167"
production cum admin clerk,Full-time,"USD 30,000 - 50,000 / YEARLY",Communication,"2,500 - 4,167"
administrative officer,Full-time,"USD 30,000 - 50,000 / YEARLY","Excel, Data Analysis","2,500 - 4,167"
project administrator,Contract,"USD 30,000 - 55,000 / YEARLY",Communication,"2,500 - 4,583"
"senior manager, it (analytics)",Full-time,"USD 70,000 - 105,000 / YEARLY","Python, SQL","5,833 - 8,750"
finance executive - accounts receivable (ar),Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
risk operation analyst officer,Full-time,"USD 60,000 - 90,000 / YEARLY",Data Analysis,"5,000 - 7,500"
c&s engineer and drafter,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
"electrical chargeman (pasir gudang, johor)",Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
senior tax ( sunway tower kl),Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
senior design engineer (hvac) - contract,Contract,"USD 70,000 - 115,500 / YEARLY",Excel,"5,833 - 9,625"
junior loan processor (wfh),Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
junior application consultants,Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
sales admin manager (johor),Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
senior software developer (c#.net),Full-time,"USD 70,000 - 105,000 / YEARLY",SQL,"5,833 - 8,750"
technical delivery manager (ms dynamics 365 crm),Full-time,"USD 70,000 - 105,000 / YEARLY",Excel,"5,833 - 8,750"
associate – invoice processing (finance shared services center),Full-time,"USD 50,000 - 75,000 / YEARLY",Excel,"4,167 - 6,250"
junior it executive,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
business development manager (basic salary + commission in usd),Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
it executive-urgent,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
executive - accounts (1-year contract),Contract,"USD 50,000 - 82,500 / YEARLY",Excel,"4,167 - 6,875"
sales assistant admin (local / export),Full-time,"USD 50,000 - 75,000 / YEARLY",Excel,"4,167 - 6,250"
cybersecurity engineer,Full-time,"USD 70,000 - 105,000 / YEARLY","Python, Excel","5,833 - 8,750"
junior purchasing executive (mandarin speaker),Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
regional procurement manager - outsourced manufacturing,Full-time,"USD 75,000 - 100,000 / YEARLY",Communication,"6,250 - 8,333"
senior backend developer,Full-time,"USD 70,000 - 105,000 / YEARLY","Python, SQL, Excel, Java","5,833 - 8,750"
senior executive governance & integrity,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
mechanic foreman,Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
executive / senior executive human resource,Full-time,"USD 30,000 - 50,000 / YEARLY",Communication,"2,500 - 4,167"
[remote] senior software engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",Java,"5,833 - 8,750"
"internship, marketing",Internship,"USD 18,000 - 24,000 / YEARLY",Communication,"1,500 - 2,000"
admissions officer,Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
mechanical design lead,Full-time,"USD 75,000 - 100,000 / YEARLY",Excel,"6,250 - 8,333"
admin executive/ assistant,Full-time,"USD 30,000 - 50,000 / YEARLY",Excel,"2,500 - 4,167"
admin internship,Internship,"USD 18,000 - 24,000 / YEARLY",Communication,"1,500 - 2,000"
junior hr cum admin executive,Full-time,"USD 30,000 - 50,000 / YEARLY",Excel,"2,500 - 4,167"
admin & finance officer,Full-time,"USD 50,000 - 75,000 / YEARLY",Excel,"4,167 - 6,250"
project executive / project engineer,Contract,"USD 70,000 - 115,500 / YEARLY",Excel,"5,833 - 9,625"
sales support officer (temporary - 5 months) - johor bahru,Contract,"USD 50,000 - 82,500 / YEARLY",Excel,"4,167 - 6,875"
account & admin executive,Full-time,"USD 50,000 - 75,000 / YEARLY","SQL, Excel","4,167 - 6,250"
"interns (r&d, quality, hr, engineering, maintenance)",Internship,"USD 18,000 - 24,000 / YEARLY","Excel, Data Analysis","1,500 - 2,000"
"program analyst (bayan lepas, penang)",Full-time,"USD 60,000 - 90,000 / YEARLY",Excel,"5,000 - 7,500"
"executive administrator, scheduled waste operations",Full-time,"USD 30,000 - 50,000 / YEARLY",Excel,"2,500 - 4,167"
project / construction engineer,Contract,"USD 70,000 - 115,500 / YEARLY",Excel,"5,833 - 9,625"
senior finance executive (pj)(risk-related),Full-time,"USD 50,000 - 75,000 / YEARLY",Excel,"4,167 - 6,250"
account assistant (data entry),Full-time,"USD 60,000 - 90,000 / YEARLY",Excel,"5,000 - 7,500"
sales manager | penang | wastewater treatment ind exp | perm post!,Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
computer programmer,Full-time,"USD 70,000 - 105,000 / YEARLY",React,"5,833 - 8,750"
national sales manager - refrigerated products,Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
sales admin coordinator (kempas),Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
industrial and employee relations executive,Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
internship in audit,Internship,"USD 18,000 - 24,000 / YEARLY",Excel,"1,500 - 2,000"
senior account cum supply chain (precast / senai / up to rm9k),Full-time,"USD 60,000 - 90,000 / YEARLY",Communication,"5,000 - 7,500"
sr. electrical validation engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",Python,"5,833 - 8,750"
[expression of interest] senior software developer (java),Full-time,"USD 70,000 - 105,000 / YEARLY","SQL, Excel, Java, React","5,833 - 8,750"
senior medical product specialist - hospital(penang),Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
senior sales manager / head (it solutions),Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
finance controlling executive (product supply),Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
key account executive - southern region,Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
senior vip engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
executive assistant to chairman,Full-time,"USD 60,000 - 90,000 / YEARLY","Excel, Data Analysis","5,000 - 7,500"
chargeman a4 / wireman pw4 / electrical engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
senior mechanical designer,Full-time,"USD 45,000 - 70,000 / YEARLY",Communication,"3,750 - 5,833"
engineer - maintenance,Full-time,"USD 60,000 - 90,000 / YEARLY",Communication,"5,000 - 7,500"
senior channel sales representative (ppe),Full-time,"USD 50,000 - 75,000 / YEARLY",Excel,"4,167 - 6,250"
senior admin assistant (kuantan),Full-time,"USD 30,000 - 50,000 / YEARLY",Excel,"2,500 - 4,167"
recruitment consultant (fresh grad/senior/teamlead),Full-time,"USD 70,000 - 105,000 / YEARLY",Excel,"5,833 - 8,750"
sr azure data bi developer,Full-time,"USD 60,000 - 90,000 / YEARLY","Python, Machine Learning","5,000 - 7,500"
account assistant (chinese speaking),Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
asssistant sales manager,Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
"accounts executive (ap) | bayan lepas, penang",Full-time,"USD 50,000 - 75,000 / YEARLY",Excel,"4,167 - 6,250"
internship for banking & finance - jb,Internship,"USD 18,000 - 24,000 / YEARLY",Communication,"1,500 - 2,000"
hr recruiter ( recruitment / business development ),Full-time,"USD 70,000 - 105,000 / YEARLY",Excel,"5,833 - 8,750"
senior sales executive (sabah and brunei) - attractive commission (id: 601511),Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
account payable analyst,Full-time,"USD 60,000 - 90,000 / YEARLY",Communication,"5,000 - 7,500"
full stack developer (java),Full-time,"USD 70,000 - 105,000 / YEARLY","SQL, Java","5,833 - 8,750"
key account executive (based in klang valley),Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
it app adminstrator- full work from home (id: 601378),Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
hr & admin assistant (solar industry),Full-time,"USD 30,000 - 50,000 / YEARLY",Communication,"2,500 - 4,167"
pie engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
web programmer (front end developer),Full-time,"USD 70,000 - 105,000 / YEARLY",Java,"5,833 - 8,750"
chief finance officer,Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
"intern, life branch operation – customer service division",Internship,"USD 18,000 - 24,000 / YEARLY",Excel,"1,500 - 2,000"
software engineer / java developer (fresh graduates welcome to apply),Full-time,"USD 70,000 - 105,000 / YEARLY",Java,"5,833 - 8,750"
"senior executive/assistant manager, operation and sales analyst",Full-time,"USD 60,000 - 90,000 / YEARLY","Excel, Data Analysis","5,000 - 7,500"
accountant (6 months contract),Contract,"USD 50,000 - 82,500 / YEARLY",Excel,"4,167 - 6,875"
visa processing officer,Full-time,"USD 45,000 - 82,500 / YEARLY",Excel,"3,750 - 6,875"
"manager, it audit",Full-time,"USD 70,000 - 105,000 / YEARLY",Excel,"5,833 - 8,750"
lawyer,Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
operations admin executive,Full-time,"USD 30,000 - 50,000 / YEARLY",Excel,"2,500 - 4,167"
group chief human resource officer,Full-time,"USD 30,000 - 50,000 / YEARLY",Excel,"2,500 - 4,167"
software engineer (full-stack developer),Full-time,"USD 70,000 - 105,000 / YEARLY","Java, Machine Learning","5,833 - 8,750"
senior audit executive - kl or jb (id: 601512),Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
internship - hr & administrative,Internship,"USD 18,000 - 24,000 / YEARLY",Communication,"1,500 - 2,000"
finance & accounting executive,Full-time,"USD 50,000 - 75,000 / YEARLY",Excel,"4,167 - 6,250"
accounts officer/accounts executive,Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
finance manager / assistant manager,Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
supply chain finance manager,Full-time,"USD 60,000 - 90,000 / YEARLY",Excel,"5,000 - 7,500"
devops engineer,Full-time,"USD 70,000 - 105,000 / YEARLY","SQL, Java","5,833 - 8,750"
cybersecurity engineer (zero-trust),Full-time,"USD 70,000 - 105,000 / YEARLY","Python, Excel, Java","5,833 - 8,750"
technical delivery manager (java),Full-time,"USD 70,000 - 105,000 / YEARLY",Java,"5,833 - 8,750"
"technical service representative (paper) - simpang ampat, penang",Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
senior endpoint cybersecurity engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",Excel,"5,833 - 8,750"
senior relationship manager (id: 601428),Full-time,"USD 75,000 - 100,000 / YEARLY",Communication,"6,250 - 8,333"
project specialist,Contract,"USD 45,000 - 90,750 / YEARLY",Communication,"3,750 - 7,562"
account & admin clerk,Full-time,"USD 50,000 - 75,000 / YEARLY",Excel,"4,167 - 6,250"
admin account,Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
calling for e&e engineering fresh graduate (graduate trainee programs),Internship,"USD 18,000 - 24,000 / YEARLY",Communication,"1,500 - 2,000"
electrical project engineer,Contract,"USD 70,000 - 115,500 / YEARLY",Excel,"5,833 - 9,625"
[urgent] senior hr executive (regional office),Full-time,"USD 30,000 - 50,000 / YEARLY",Excel,"2,500 - 4,167"
senior executive-risk management,Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
senior payroll cum admin executive,Full-time,"USD 50,000 - 75,000 / YEARLY",Excel,"4,167 - 6,250"
"senior executive, group treasury",Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
"qaqc executive - construction (sungai petani, kedah)",Full-time,"USD 60,000 - 90,000 / YEARLY",Excel,"5,000 - 7,500"
wireman pw2/pw4,Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
senior php programmer,Full-time,"USD 70,000 - 105,000 / YEARLY","Python, Java","5,833 - 8,750"
site hse executive,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
finance analyst - korean speaker,Full-time,"USD 60,000 - 90,000 / YEARLY",Excel,"5,000 - 7,500"
technical consultant (work at damansara utama) #65840,Full-time,"USD 70,000 - 105,000 / YEARLY","SQL, Java","5,833 - 8,750"
draughtsman / mechanical drafter,Full-time,"USD 45,000 - 82,500 / YEARLY",Excel,"3,750 - 6,875"
sales executive ( high pay i nationwide i fresh graduate welcome) - p5,Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
it support engineers,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
assistant manager/ senior associate (audit),Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
statistician,Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
"intern-quality assistant (based in kulim, kedah)",Internship,"USD 18,000 - 24,000 / YEARLY",Excel,"1,500 - 2,000"
"executive/senior executive (organization, method & process improvement)",Full-time,"USD 45,000 - 82,500 / YEARLY","Excel, Data Analysis","3,750 - 6,875"
sales support (japanese speaker) (hair product company) (id: 601736),Full-time,"USD 60,000 - 90,000 / YEARLY",Communication,"5,000 - 7,500"
"mep project engineer - chinese speaker (energy company, india placement)",Contract,"USD 70,000 - 115,500 / YEARLY",Excel,"5,833 - 9,625"
accounts clerk / finance executive,Full-time,"USD 50,000 - 75,000 / YEARLY",Excel,"4,167 - 6,250"
sustainability coordinator,Full-time,"USD 60,000 - 90,000 / YEARLY","Excel, Data Analysis","5,000 - 7,500"
hr & adm executive - recruitment & ir,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
"assistant manager, group finance",Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
service engineer (mechanical),Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
internship for finance/business administrative,Internship,"USD 18,000 - 24,000 / YEARLY",Communication,"1,500 - 2,000"
technician (40001),Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
executive - supply chain management,Full-time,"USD 60,000 - 90,000 / YEARLY",Excel,"5,000 - 7,500"
sales executive specialty oil / sales executive wax emulsion,Full-time,"USD 50,000 - 75,000 / YEARLY",Excel,"4,167 - 6,250"
qa manager (payroll),Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
"system, business analyst   **immediate hiring**",Full-time,"USD 60,000 - 90,000 / YEARLY",SQL,"5,000 - 7,500"
receptionist cum administrative,Full-time,"USD 30,000 - 50,000 / YEARLY",Communication,"2,500 - 4,167"
deputy director - human resource and administration,Full-time,"USD 30,000 - 50,000 / YEARLY",Communication,"2,500 - 4,167"
compliance intern,Internship,"USD 18,000 - 24,000 / YEARLY",Data Analysis,"1,500 - 2,000"
audit associate 审计助理,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
internship - finance,Internship,"USD 18,000 - 24,000 / YEARLY",Communication,"1,500 - 2,000"
finance executive (financial reporting),Full-time,"USD 50,000 - 75,000 / YEARLY",Excel,"4,167 - 6,250"
finance / account manager,Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
senior associate– treasury operations (finance shared services center),Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
team lead - hr operation,Full-time,"USD 75,000 - 100,000 / YEARLY",Excel,"6,250 - 8,333"
erp consultant,Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
"officer, payroll",Full-time,"USD 50,000 - 75,000 / YEARLY",Excel,"4,167 - 6,250"
"intern, underwriting department (life insurance)",Internship,"USD 18,000 - 24,000 / YEARLY",Excel,"1,500 - 2,000"
assistant branch manager (agency development),Full-time,"USD 75,000 - 100,000 / YEARLY",Excel,"6,250 - 8,333"
talent recruiter hr senior executive / executive,Full-time,"USD 70,000 - 105,000 / YEARLY",Excel,"5,833 - 8,750"
5gc core network engineer,Full-time,"USD 70,000 - 105,000 / YEARLY","Python, Excel","5,833 - 8,750"
corporate secretary (associate),Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
account executive (junior/senior),Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
junior network operation centre engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
executive - company secretarial,Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
store admin,Full-time,"USD 30,000 - 50,000 / YEARLY",Communication,"2,500 - 4,167"
personal sales banker | basic + allowance + commission | nationwide hiring,Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
presales engineer (network security),Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
acmv site engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
head of finance & accounting department,Full-time,"USD 50,000 - 75,000 / YEARLY",Excel,"4,167 - 6,250"
"executive/administrator, quality & licensing",Full-time,"USD 70,000 - 105,000 / YEARLY",Excel,"5,833 - 8,750"
"executive, human capital management",Full-time,"USD 70,000 - 105,000 / YEARLY",Excel,"5,833 - 8,750"
finance assistant (internship),Internship,"USD 18,000 - 24,000 / YEARLY",Communication,"1,500 - 2,000"
account administration,Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
"senior executive, mechanical & eletrical",Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
accounts assistant / clerk,Full-time,"USD 50,000 - 75,000 / YEARLY",Excel,"4,167 - 6,250"
service desk agent (korean speaker),Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
quality control officer,Full-time,"USD 70,000 - 105,000 / YEARLY",Excel,"5,833 - 8,750"
licensed aircraft engineer,Full-time,"USD 60,000 - 90,000 / YEARLY",Communication,"5,000 - 7,500"
internal audit senior executive (process improvement),Internship,"USD 18,000 - 24,000 / YEARLY",Communication,"1,500 - 2,000"
senior instrumentation & control engineer / ica engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
maintenance executive,Full-time,"USD 60,000 - 90,000 / YEARLY",Communication,"5,000 - 7,500"
data analysis officer / executive,Full-time,"USD 60,000 - 90,000 / YEARLY",Data Analysis,"5,000 - 7,500"
it service desk analyst (japanese speaker - jlpt n2) (id: 566959),Full-time,"USD 60,000 - 90,000 / YEARLY",Communication,"5,000 - 7,500"
engineer / senior engineer - project (high rise building construction),Contract,"USD 70,000 - 115,500 / YEARLY",Communication,"5,833 - 9,625"
admin / accounts,Full-time,"USD 50,000 - 75,000 / YEARLY",Excel,"4,167 - 6,250"
"senior project assistant (migration, business and human rights)",Contract,"USD 30,000 - 55,000 / YEARLY",Communication,"2,500 - 4,583"
hr manager (malaysia based),Full-time,"USD 75,000 - 100,000 / YEARLY",Excel,"6,250 - 8,333"
structure repair engineer,Full-time,"USD 60,000 - 90,000 / YEARLY",Excel,"5,000 - 7,500"
"team lead, account payable",Full-time,"USD 50,000 - 75,000 / YEARLY",Excel,"4,167 - 6,250"
value stream engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",Data Analysis,"5,833 - 8,750"
tool maker (metal stamping),Full-time,"USD 45,000 - 82,500 / YEARLY",Excel,"3,750 - 6,875"
human resource cum admin assistant,Full-time,"USD 30,000 - 50,000 / YEARLY",Communication,"2,500 - 4,167"
purchasing & admin clerk,Full-time,"USD 30,000 - 50,000 / YEARLY",Communication,"2,500 - 4,167"
personal banker wealth (negeri sembilan),Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
indoor sales / sales coordinator,Full-time,"USD 50,000 - 75,000 / YEARLY",Excel,"4,167 - 6,250"
it executive,Full-time,"USD 70,000 - 105,000 / YEARLY","Python, SQL, Excel, Data Analysis","5,833 - 8,750"
junior supply chain,Full-time,"USD 60,000 - 90,000 / YEARLY",Communication,"5,000 - 7,500"
account executive - reporting,Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
it helpdesk - mandarin speaker,Full-time,"USD 70,000 - 105,000 / YEARLY","Excel, React","5,833 - 8,750"
it junior engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
"vice president, market & liquidity risk management",Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
quality control engineer / executive,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
account administation,Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
"mechanical engineer (based at puchong, selangor)",Full-time,"USD 70,000 - 105,000 / YEARLY",Excel,"5,833 - 8,750"
